# Ultra-dense + color (420544 points)
# Format: x y r g b
#
0.499682 1.060000 0.0000 0.0000 0.0000
0.504174 1.060000 0.0000 0.0000 0.0000
0.508665 1.060000 0.0000 0.0000 0.0000
0.513157 1.060000 0.0000 0.0000 0.0000
0.517648 1.060000 0.0000 0.0000 0.0000
0.522140 1.060000 0.0000 0.0000 0.0000
0.526631 1.060000 0.0000 0.0000 0.0000
0.531123 1.060000 0.0000 0.0000 0.0000
0.535614 1.060000 0.0000 0.0000 0.0000
0.540106 1.060000 0.0000 0.0000 0.0000
0.544597 1.060000 0.0000 0.0000 0.0000
0.549089 1.060000 0.0000 0.0000 0.0000
0.553581 1.060000 0.0000 0.0000 0.0000
0.558072 1.060000 0.0000 0.0000 0.0000
0.562564 1.060000 0.0000 0.0000 0.0000
0.567055 1.060000 0.0000 0.0000 0.0000
0.571547 1.060000 0.0000 0.0000 0.0000
0.576038 1.060000 0.0000 0.0000 0.0000
0.580530 1.060000 0.0000 0.0000 0.0000
0.585021 1.060000 0.0000 0.0000 0.0000
0.589513 1.060000 0.0000 0.0000 0.0000
0.594004 1.060000 0.0000 0.0000 0.0000
0.598496 1.060000 0.0000 0.0000 0.0000
0.602987 1.060000 0.0000 0.0000 0.0000
0.607479 1.060000 0.0000 0.0000 0.0000
0.611970 1.060000 0.0000 0.0000 0.0000
0.616462 1.060000 0.0000 0.0000 0.0000
0.620953 1.060000 0.0000 0.0000 0.0000
0.625445 1.060000 0.0000 0.0000 0.0000
0.629936 1.060000 0.0000 0.0000 0.0000
0.634428 1.060000 0.0000 0.0000 0.0000
0.638919 1.060000 0.0000 0.0000 0.0000
0.643411 1.060000 0.0000 0.0000 0.0000
0.647903 1.060000 0.0000 0.0000 0.0000
0.652394 1.060000 0.0000 0.0000 0.0000
0.656886 1.060000 0.0000 0.0000 0.0000
0.661377 1.060000 0.0000 0.0000 0.0000
0.665869 1.060000 0.0000 0.0000 0.0000
0.670360 1.060000 0.0000 0.0000 0.0000
0.674852 1.060000 0.0000 0.0000 0.0000
0.679343 1.060000 0.0000 0.0000 0.0000
0.683835 1.060000 0.0000 0.0000 0.0000
0.688326 1.060000 0.0000 0.0000 0.0000
0.692818 1.060000 0.0000 0.0000 0.0000
0.697309 1.060000 0.0000 0.0000 0.0000
0.701801 1.060000 0.0000 0.0000 0.0000
0.706292 1.060000 0.0000 0.0000 0.0000
0.710784 1.060000 0.0000 0.0000 0.0000
0.715275 1.060000 0.0000 0.0000 0.0000
0.719767 1.060000 0.0000 0.0000 0.0000
0.724258 1.060000 0.0000 0.0000 0.0000
0.728750 1.060000 0.0000 0.0000 0.0000
0.733242 1.060000 0.0000 0.0000 0.0000
0.737733 1.060000 0.0000 0.0000 0.0000
0.742225 1.060000 0.0000 0.0000 0.0000
0.746716 1.060000 0.0000 0.0000 0.0000
0.751208 1.060000 0.0000 0.0000 0.0000
0.755699 1.060000 0.0000 0.0000 0.0000
0.760191 1.060000 0.0000 0.0000 0.0000
0.764682 1.060000 0.0000 0.0000 0.0000
0.769174 1.060000 0.0000 0.0000 0.0000
